split_name,seed,client_id,samples,label_positive_rate,protected_positive_rate
iid,42,0,1008,0.49503968253968256,0.39285714285714285
iid,42,1,1008,0.49503968253968256,0.39285714285714285
iid,42,2,1008,0.48313492063492064,0.36607142857142855
iid,42,3,1008,0.48214285714285715,0.39087301587301587
iid,42,4,1008,0.4603174603174603,0.35813492063492064
iid,42,5,1008,0.47023809523809523,0.4097222222222222
iid,42,6,1008,0.47023809523809523,0.3958333333333333
iid,42,7,1008,0.4781746031746032,0.3898809523809524
iid,42,8,1008,0.47023809523809523,0.3998015873015873
iid,42,9,1008,0.4603174603174603,0.37797619047619047
iid,42,10,1007,0.4756703078450844,0.39622641509433965
iid,42,11,1007,0.4528301886792453,0.38828202581926513
iid,42,12,1007,0.4637537239324727,0.40218470705064546
iid,42,13,1007,0.47368421052631576,0.38629592850049654
iid,42,14,1007,0.49751737835153925,0.38033763654419067
iid,42,15,1007,0.48758689175769615,0.3555114200595829
iid,42,16,1007,0.48957298907646474,0.3972194637537239
iid,42,17,1007,0.46871896722939427,0.4001986097318769
iid,42,18,1007,0.4985104270109235,0.39920556107249255
iid,42,19,1007,0.4548162859980139,0.3843098311817279
dirichlet_0_5,42,0,2295,0.8191721132897604,0.39694989106753814
dirichlet_0_5,42,1,254,0.03543307086614173,0.4015748031496063
dirichlet_0_5,42,2,99,0.5656565656565656,0.3434343434343434
dirichlet_0_5,42,3,956,0.805439330543933,0.39435146443514646
dirichlet_0_5,42,4,1731,0.853264009243212,0.37377238590410167
dirichlet_0_5,42,5,644,0.6226708074534162,0.37422360248447206
dirichlet_0_5,42,6,394,0.0,0.3756345177664975
dirichlet_0_5,42,7,1055,0.0,0.37251184834123224
dirichlet_0_5,42,8,210,0.7571428571428571,0.4095238095238095
dirichlet_0_5,42,9,738,0.994579945799458,0.44173441734417346
dirichlet_0_5,42,10,2205,0.22993197278911565,0.38049886621315193
dirichlet_0_5,42,11,64,0.71875,0.3125
dirichlet_0_5,42,12,633,0.00315955766192733,0.37756714060031593
dirichlet_0_5,42,13,1077,0.8607242339832869,0.4020427112349118
dirichlet_0_5,42,14,1547,0.09631544925662573,0.3956043956043956
dirichlet_0_5,42,15,980,0.06938775510204082,0.3836734693877551
dirichlet_0_5,42,16,540,0.9796296296296296,0.39814814814814814
dirichlet_0_5,42,17,1274,0.7276295133437991,0.38854003139717425
dirichlet_0_5,42,18,1360,0.011764705882352941,0.3654411764705882
dirichlet_0_5,42,19,2094,0.4498567335243553,0.3968481375358166
strict_non_iid,42,0,1008,0.0,0.0
strict_non_iid,42,1,1008,0.0,0.0
strict_non_iid,42,2,1008,0.0,0.0
strict_non_iid,42,3,1008,0.0,0.0
strict_non_iid,42,4,1008,0.0,0.0
strict_non_iid,42,5,1008,0.0,0.0
strict_non_iid,42,6,1008,0.0,0.44246031746031744
strict_non_iid,42,7,1008,0.0,1.0
strict_non_iid,42,8,1008,0.0,1.0
strict_non_iid,42,9,1008,0.0,1.0
strict_non_iid,42,10,1007,0.5322740814299901,0.46772591857000995
strict_non_iid,42,11,1007,1.0,0.0
strict_non_iid,42,12,1007,1.0,0.0
strict_non_iid,42,13,1007,1.0,0.0
strict_non_iid,42,14,1007,1.0,0.0
strict_non_iid,42,15,1007,1.0,0.0
strict_non_iid,42,16,1007,1.0,0.8540218470705064
strict_non_iid,42,17,1007,1.0,1.0
strict_non_iid,42,18,1007,1.0,1.0
strict_non_iid,42,19,1007,1.0,1.0
